Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,112.9,-120.6,180.0,top
C100,100nF,C_0603_1608Metric,106.0,-115.0,0.0,top
C101,100nF,C_0603_1608Metric,106.0,-116.5,0.0,top
C102,100nF,C_0603_1608Metric,106.0,-113.5,0.0,top
C103,1uF,C_0603_1608Metric,106.0,-118.0,0.0,top
C11,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,93.1,-150.8,0.0,top
C20,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,86.0,-125.0,-90.0,top
C21,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,89.4,-130.4,0.0,top
C24,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,92.1,-103.9,-90.0,top
C26,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,99.8,-103.9,-90.0,top
C27,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,80.4,-103.8,180.0,top
C29,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,78.6,-113.9,-90.0,top
C3,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,112.9,-122.5,180.0,top
C8,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,93.1,-148.8,0.0,top
D49,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,78.2,-120.125,-90.0,top
D52,SS14,D_SMA,104.9,-105.0,0.0,top
HS1,nephargus_10mm_Cu,Niphargus_10mm_Cu,87.5,-144.5,0.0,bottom
J1,Conn_02x03_Odd_Even,PinHeader_2x03_P1.27mm_Vertical,99.0,-150.865,90.0,top
J10,Battery,PinHeader_1x02_P2.54mm_Vertical,79.2,-107.995,0.0,top
J48,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,96.3,-74.7,0.0,top
LD1,IR encodeur,Rot_LED,83.96965,-89.4642,-90.0,top
LQ1,photodetecteur,LQ1,102.94345,-89.4656,0.0,top
Q2,AO3407,SOT-23,111.6,-100.0,0.0,top
Q4,FS8205,SOT-23-6,83.5,-111.2,0.0,top
